English Variable,Category,Sub-Category,Measurement,Formatted
Fan Unbalanced Air Mass Flow Rate,Fan,,Unbalanced Air Mass Flow Rate,Fan: Unbalanced Air Mass Flow Rate
Fluid Heat Exchanger Effectiveness,Fluid Heat Exchanger,,Effectiveness,Fluid Heat Exchanger: Effectiveness
Fluid Heat Exchanger Heat Transfer Energy,Fluid Heat Exchanger,,Heat Transfer Energy,Fluid Heat Exchanger: Heat Transfer Energy
Fluid Heat Exchanger Heat Transfer Rate,Fluid Heat Exchanger,,Heat Transfer Rate,Fluid Heat Exchanger: Heat Transfer Rate
Fluid Heat Exchanger Loop Demand Side Inlet Temperature,Fluid Heat Exchanger,,Loop Demand Side Inlet Temperature,Fluid Heat Exchanger: Loop Demand Side Inlet Temperature
Fluid Heat Exchanger Loop Demand Side Mass Flow Rate,Fluid Heat Exchanger,,Loop Demand Side Mass Flow Rate,Fluid Heat Exchanger: Loop Demand Side Mass Flow Rate
Fluid Heat Exchanger Loop Demand Side Outlet Temperature,Fluid Heat Exchanger,,Loop Demand Side Outlet Temperature,Fluid Heat Exchanger: Loop Demand Side Outlet Temperature
Fluid Heat Exchanger Loop Supply Side Inlet Temperature,Fluid Heat Exchanger,,Loop Supply Side Inlet Temperature,Fluid Heat Exchanger: Loop Supply Side Inlet Temperature
Fluid Heat Exchanger Loop Supply Side Mass Flow Rate,Fluid Heat Exchanger,,Loop Supply Side Mass Flow Rate,Fluid Heat Exchanger: Loop Supply Side Mass Flow Rate
Fluid Heat Exchanger Loop Supply Side Outlet Temperature,Fluid Heat Exchanger,,Loop Supply Side Outlet Temperature,Fluid Heat Exchanger: Loop Supply Side Outlet Temperature
Fluid Heat Exchanger Operation Status,Fluid Heat Exchanger,,Operation Status,Fluid Heat Exchanger: Operation Status
Generator Ancillary Electricity Energy,Generator,,Ancillary Electricity Energy,Generator: Ancillary Electricity Energy
Generator Ancillary Electricity Rate,Generator,,Ancillary Electricity Rate,Generator: Ancillary Electricity Rate
Generator Exhaust Air Mass Flow Rate,Generator,,Exhaust Air Mass Flow Rate,Generator: Exhaust Air Mass Flow Rate
Generator Exhaust Air Temperature,Generator,,Exhaust Air Temperature,Generator: Exhaust Air Temperature
Generator Fuel HHV Basis Energy,Generator,,Fuel HHV Basis Energy,Generator: Fuel HHV Basis Energy
Generator Fuel HHV Basis Rate,Generator,,Fuel HHV Basis Rate,Generator: Fuel HHV Basis Rate
Generator LHV Basis Electric Efficiency,Generator,,LHV Basis Electric Efficiency,Generator: LHV Basis Electric Efficiency
Generator NaturalGas HHV Basis Energy,Generator,,NaturalGas HHV Basis Energy,Generator: NaturalGas HHV Basis Energy
Generator NaturalGas HHV Basis Rate,Generator,,NaturalGas HHV Basis Rate,Generator: NaturalGas HHV Basis Rate
Generator NaturalGas Mass Flow Rate,Generator,,NaturalGas Mass Flow Rate,Generator: NaturalGas Mass Flow Rate
Generator Produced AC Electricity Energy,Generator,,Produced AC Electricity Energy,Generator: Produced AC Electricity Energy
Generator Produced AC Electricity Rate,Generator,,Produced AC Electricity Rate,Generator: Produced AC Electricity Rate
Generator Propane HHV Basis Energy,Generator,,Propane HHV Basis Energy,Generator: Propane HHV Basis Energy
Generator Propane HHV Basis Rate,Generator,,Propane HHV Basis Rate,Generator: Propane HHV Basis Rate
Generator Propane Mass Flow Rate,Generator,,Propane Mass Flow Rate,Generator: Propane Mass Flow Rate
Generator Standby Electric Energy,Generator,,Standby Electric Energy,Generator: Standby Electric Energy
Generator Standby Electricity Rate,Generator,,Standby Electricity Rate,Generator: Standby Electricity Rate
Ground Heat Exchanger Average Borehole Temperature,Ground Heat Exchanger,,Average Borehole Temperature,Ground Heat Exchanger: Average Borehole Temperature
Ground Heat Exchanger Average Fluid Temperature,Ground Heat Exchanger,,Average Fluid Temperature,Ground Heat Exchanger: Average Fluid Temperature
Ground Heat Exchanger Fluid Heat Transfer Rate,Ground Heat Exchanger,,Fluid Heat Transfer Rate,Ground Heat Exchanger: Fluid Heat Transfer Rate
Ground Heat Exchanger Heat Transfer Rate,Ground Heat Exchanger,,Heat Transfer Rate,Ground Heat Exchanger: Heat Transfer Rate
Ground Heat Exchanger Inlet Temperature,Ground Heat Exchanger,,Inlet Temperature,Ground Heat Exchanger: Inlet Temperature
Ground Heat Exchanger Mass Flow Rate,Ground Heat Exchanger,,Mass Flow Rate,Ground Heat Exchanger: Mass Flow Rate
Ground Heat Exchanger Outlet Temperature,Ground Heat Exchanger,,Outlet Temperature,Ground Heat Exchanger: Outlet Temperature
HVAC System Solver Iteration Count,HVAC,,System Solver Iteration Count,HVAC: System Solver Iteration Count
Heat Exchanger Defrost Time Fraction,Heat Exchanger,,Defrost Time Fraction,Heat Exchanger: Defrost Time Fraction
Heat Exchanger Electricity Energy,Heat Exchanger,,Electricity Energy,Heat Exchanger: Electricity Energy
Heat Exchanger Electricity Rate,Heat Exchanger,,Electricity Rate,Heat Exchanger: Electricity Rate
Heat Exchanger Exhaust Air Bypass Mass Flow Rate,Heat Exchanger,,Exhaust Air Bypass Mass Flow Rate,Heat Exchanger: Exhaust Air Bypass Mass Flow Rate
Heat Exchanger Latent Cooling Energy,Heat Exchanger,,Latent Cooling Energy,Heat Exchanger: Latent Cooling Energy
Heat Exchanger Latent Cooling Rate,Heat Exchanger,,Latent Cooling Rate,Heat Exchanger: Latent Cooling Rate
Heat Exchanger Latent Effectiveness,Heat Exchanger,,Latent Effectiveness,Heat Exchanger: Latent Effectiveness
Heat Exchanger Latent Gain Energy,Heat Exchanger,,Latent Gain Energy,Heat Exchanger: Latent Gain Energy
Heat Exchanger Latent Gain Rate,Heat Exchanger,,Latent Gain Rate,Heat Exchanger: Latent Gain Rate
Heat Exchanger Sensible Cooling Energy,Heat Exchanger,,Sensible Cooling Energy,Heat Exchanger: Sensible Cooling Energy
Heat Exchanger Sensible Cooling Rate,Heat Exchanger,,Sensible Cooling Rate,Heat Exchanger: Sensible Cooling Rate
Heat Exchanger Sensible Effectiveness,Heat Exchanger,,Sensible Effectiveness,Heat Exchanger: Sensible Effectiveness
Heat Exchanger Sensible Heating Energy,Heat Exchanger,,Sensible Heating Energy,Heat Exchanger: Sensible Heating Energy
Heat Exchanger Sensible Heating Rate,Heat Exchanger,,Sensible Heating Rate,Heat Exchanger: Sensible Heating Rate
Heat Exchanger Supply Air Bypass Mass Flow Rate,Heat Exchanger,,Supply Air Bypass Mass Flow Rate,Heat Exchanger: Supply Air Bypass Mass Flow Rate
Heat Exchanger Total Cooling Energy,Heat Exchanger,,Total Cooling Energy,Heat Exchanger: Total Cooling Energy
Heat Exchanger Total Cooling Rate,Heat Exchanger,,Total Cooling Rate,Heat Exchanger: Total Cooling Rate
Heat Exchanger Total Heating Energy,Heat Exchanger,,Total Heating Energy,Heat Exchanger: Total Heating Energy
Heat Exchanger Total Heating Rate,Heat Exchanger,,Total Heating Rate,Heat Exchanger: Total Heating Rate
Heating Coil Air Heating Energy,Heating Coil,,Air Heating Energy,Heating Coil: Air Heating Energy
Heating Coil Air Heating Rate,Heating Coil,,Air Heating Rate,Heating Coil: Air Heating Rate
Heating Coil Ancillary Coal Energy,Heating Coil,,Ancillary Coal Energy,Heating Coil: Ancillary Coal Energy
Heating Coil Ancillary Coal Rate,Heating Coil,,Ancillary Coal Rate,Heating Coil: Ancillary Coal Rate
Heating Coil Ancillary Diesel Energy,Heating Coil,,Ancillary Diesel Energy,Heating Coil: Ancillary Diesel Energy
Heating Coil Ancillary Diesel Rate,Heating Coil,,Ancillary Diesel Rate,Heating Coil: Ancillary Diesel Rate
Heating Coil Ancillary FuelOilNo1 Energy,Heating Coil,,Ancillary FuelOilNo1 Energy,Heating Coil: Ancillary FuelOilNo1 Energy
Heating Coil Ancillary FuelOilNo1 Rate,Heating Coil,,Ancillary FuelOilNo1 Rate,Heating Coil: Ancillary FuelOilNo1 Rate
Heating Coil Ancillary FuelOilNo2 Energy,Heating Coil,,Ancillary FuelOilNo2 Energy,Heating Coil: Ancillary FuelOilNo2 Energy
Heating Coil Ancillary FuelOilNo2 Rate,Heating Coil,,Ancillary FuelOilNo2 Rate,Heating Coil: Ancillary FuelOilNo2 Rate
Heating Coil Ancillary Gasoline Energy,Heating Coil,,Ancillary Gasoline Energy,Heating Coil: Ancillary Gasoline Energy
Heating Coil Ancillary Gasoline Rate,Heating Coil,,Ancillary Gasoline Rate,Heating Coil: Ancillary Gasoline Rate
Heating Coil Ancillary NaturalGas Energy,Heating Coil,,Ancillary NaturalGas Energy,Heating Coil: Ancillary NaturalGas Energy
Heating Coil Ancillary NaturalGas Rate,Heating Coil,,Ancillary NaturalGas Rate,Heating Coil: Ancillary NaturalGas Rate
Heating Coil Ancillary OtherFuel1 Energy,Heating Coil,,Ancillary OtherFuel1 Energy,Heating Coil: Ancillary OtherFuel1 Energy
Heating Coil Ancillary OtherFuel1 Rate,Heating Coil,,Ancillary OtherFuel1 Rate,Heating Coil: Ancillary OtherFuel1 Rate
Heating Coil Ancillary OtherFuel2 Energy,Heating Coil,,Ancillary OtherFuel2 Energy,Heating Coil: Ancillary OtherFuel2 Energy
Heating Coil Ancillary OtherFuel2 Rate,Heating Coil,,Ancillary OtherFuel2 Rate,Heating Coil: Ancillary OtherFuel2 Rate
Heating Coil Ancillary Propane Energy,Heating Coil,,Ancillary Propane Energy,Heating Coil: Ancillary Propane Energy
Heating Coil Ancillary Propane Rate,Heating Coil,,Ancillary Propane Rate,Heating Coil: Ancillary Propane Rate
Heating Coil Coal Energy,Heating Coil,,Coal Energy,Heating Coil: Coal Energy
Heating Coil Coal Rate,Heating Coil,,Coal Rate,Heating Coil: Coal Rate
Heating Coil Crankcase Heater Electricity Energy,Heating Coil,,Crankcase Heater Electricity Energy,Heating Coil: Crankcase Heater Electricity Energy
Heating Coil Crankcase Heater Electricity Rate,Heating Coil,,Crankcase Heater Electricity Rate,Heating Coil: Crankcase Heater Electricity Rate
Heating Coil Defrost Electricity Energy,Heating Coil,,Defrost Electricity Energy,Heating Coil: Defrost Electricity Energy
Heating Coil Defrost Electricity Rate,Heating Coil,,Defrost Electricity Rate,Heating Coil: Defrost Electricity Rate
Heating Coil Defrost Gas Energy,Heating Coil,,Defrost Gas Energy,Heating Coil: Defrost Gas Energy
Heating Coil Defrost Gas Rate,Heating Coil,,Defrost Gas Rate,Heating Coil: Defrost Gas Rate
Heating Coil Diesel Energy,Heating Coil,,Diesel Energy,Heating Coil: Diesel Energy
Heating Coil Diesel Rate,Heating Coil,,Diesel Rate,Heating Coil: Diesel Rate
Heating Coil Electricity Energy,Heating Coil,,Electricity Energy,Heating Coil: Electricity Energy
Heating Coil Electricity Rate,Heating Coil,,Electricity Rate,Heating Coil: Electricity Rate
Heating Coil FuelOilNo1 Energy,Heating Coil,,FuelOilNo1 Energy,Heating Coil: FuelOilNo1 Energy
Heating Coil FuelOilNo1 Rate,Heating Coil,,FuelOilNo1 Rate,Heating Coil: FuelOilNo1 Rate
Heating Coil FuelOilNo2 Energy,Heating Coil,,FuelOilNo2 Energy,Heating Coil: FuelOilNo2 Energy
Heating Coil FuelOilNo2 Rate,Heating Coil,,FuelOilNo2 Rate,Heating Coil: FuelOilNo2 Rate
Heating Coil Gasoline Energy,Heating Coil,,Gasoline Energy,Heating Coil: Gasoline Energy
Heating Coil Gasoline Rate,Heating Coil,,Gasoline Rate,Heating Coil: Gasoline Rate
Heating Coil Heating Energy,Heating Coil,,Heating Energy,Heating Coil: Heating Energy
Heating Coil Heating Rate,Heating Coil,,Heating Rate,Heating Coil: Heating Rate
Heating Coil NaturalGas Energy,Heating Coil,,NaturalGas Energy,Heating Coil: NaturalGas Energy
Heating Coil NaturalGas Rate,Heating Coil,,NaturalGas Rate,Heating Coil: NaturalGas Rate
Heating Coil OtherFuel1 Energy,Heating Coil,,OtherFuel1 Energy,Heating Coil: OtherFuel1 Energy
Heating Coil OtherFuel1 Rate,Heating Coil,,OtherFuel1 Rate,Heating Coil: OtherFuel1 Rate
Heating Coil OtherFuel2 Energy,Heating Coil,,OtherFuel2 Energy,Heating Coil: OtherFuel2 Energy
Heating Coil OtherFuel2 Rate,Heating Coil,,OtherFuel2 Rate,Heating Coil: OtherFuel2 Rate
Heating Coil Propane Energy,Heating Coil,,Propane Energy,Heating Coil: Propane Energy
Heating Coil Propane Rate,Heating Coil,,Propane Rate,Heating Coil: Propane Rate
Heating Coil Runtime Fraction,Heating Coil,,Runtime Fraction,Heating Coil: Runtime Fraction
Heating Coil Source Side Heat Transfer Energy,Heating Coil,,Source Side Heat Transfer Energy,Heating Coil: Source Side Heat Transfer Energy
Heating Coil Total Heating Energy,Heating Coil,,Total Heating Energy,Heating Coil: Total Heating Energy
Heating Coil Total Heating Rate,Heating Coil,,Total Heating Rate,Heating Coil: Total Heating Rate
Heating Coil U Factor Times Area Value,Heating Coil,,U Factor Times Area Value,Heating Coil: U Factor Times Area Value
Humidifier Electricity Energy,Humidifier,,Electricity Energy,Humidifier: Electricity Energy
Humidifier Electricity Rate,Humidifier,,Electricity Rate,Humidifier: Electricity Rate
Humidifier Mains Water Volume,Humidifier,,Mains Water Volume,Humidifier: Mains Water Volume
Humidifier Water Volume,Humidifier,,Water Volume,Humidifier: Water Volume
Humidifier Water Volume Flow Rate,Humidifier,,Water Volume Flow Rate,Humidifier: Water Volume Flow Rate
Ice Thermal Storage Ancillary Electricity Energy,Ice Thermal Storage,,Ancillary Electricity Energy,Ice Thermal Storage: Ancillary Electricity Energy
Ice Thermal Storage Ancillary Electricity Rate,Ice Thermal Storage,,Ancillary Electricity Rate,Ice Thermal Storage: Ancillary Electricity Rate
Ice Thermal Storage Blended Outlet Temperature,Ice Thermal Storage,,Blended Outlet Temperature,Ice Thermal Storage: Blended Outlet Temperature
Ice Thermal Storage Bypass Mass Flow Rate,Ice Thermal Storage,,Bypass Mass Flow Rate,Ice Thermal Storage: Bypass Mass Flow Rate
Ice Thermal Storage Change Fraction,Ice Thermal Storage,,Change Fraction,Ice Thermal Storage: Change Fraction
Ice Thermal Storage Cooling Charge Energy,Ice Thermal Storage,,Cooling Charge Energy,Ice Thermal Storage: Cooling Charge Energy
Ice Thermal Storage Cooling Charge Rate,Ice Thermal Storage,,Cooling Charge Rate,Ice Thermal Storage: Cooling Charge Rate
Ice Thermal Storage Cooling Discharge Energy,Ice Thermal Storage,,Cooling Discharge Energy,Ice Thermal Storage: Cooling Discharge Energy
Ice Thermal Storage Cooling Discharge Rate,Ice Thermal Storage,,Cooling Discharge Rate,Ice Thermal Storage: Cooling Discharge Rate
Ice Thermal Storage Cooling Rate,Ice Thermal Storage,,Cooling Rate,Ice Thermal Storage: Cooling Rate
Ice Thermal Storage End Fraction,Ice Thermal Storage,,End Fraction,Ice Thermal Storage: End Fraction
Ice Thermal Storage Fluid Inlet Temperature,Ice Thermal Storage,,Fluid Inlet Temperature,Ice Thermal Storage: Fluid Inlet Temperature
Ice Thermal Storage Mass Flow Rate,Ice Thermal Storage,,Mass Flow Rate,Ice Thermal Storage: Mass Flow Rate
Ice Thermal Storage On Coil Fraction,Ice Thermal Storage,,On Coil Fraction,Ice Thermal Storage: On Coil Fraction
Ice Thermal Storage Tank Mass Flow Rate,Ice Thermal Storage,,Tank Mass Flow Rate,Ice Thermal Storage: Tank Mass Flow Rate
Ice Thermal Storage Tank Outlet Temperature,Ice Thermal Storage,,Tank Outlet Temperature,Ice Thermal Storage: Tank Outlet Temperature
Performance Curve Input Variable 1 Value,Performance Curve,,Input Variable 1 Value,Performance Curve: Input Variable 1 Value
Performance Curve Input Variable 2 Value,Performance Curve,,Input Variable 2 Value,Performance Curve: Input Variable 2 Value
Performance Curve Output Value,Performance Curve,,Output Value,Performance Curve: Output Value
Plant Common Pipe Flow Direction Status,Plant,,Common Pipe Flow Direction Status,Plant: Common Pipe Flow Direction Status
Plant Common Pipe Mass Flow Rate,Plant,,Common Pipe Mass Flow Rate,Plant: Common Pipe Mass Flow Rate
Plant Common Pipe Primary Mass Flow Rate,Plant,,Common Pipe Primary Mass Flow Rate,Plant: Common Pipe Primary Mass Flow Rate
Plant Common Pipe Primary to Secondary Mass Flow Rate,Plant,,Common Pipe Primary to Secondary Mass Flow Rate,Plant: Common Pipe Primary to Secondary Mass Flow Rate
Plant Common Pipe Secondary Mass Flow Rate,Plant,,Common Pipe Secondary Mass Flow Rate,Plant: Common Pipe Secondary Mass Flow Rate
Plant Common Pipe Secondary to Primary Mass Flow Rate,Plant,,Common Pipe Secondary to Primary Mass Flow Rate,Plant: Common Pipe Secondary to Primary Mass Flow Rate
Plant Common Pipe Temperature,Plant,,Common Pipe Temperature,Plant: Common Pipe Temperature
Plant Demand Side Loop Pressure Difference,Plant,,Demand Side Loop Pressure Difference,Plant: Demand Side Loop Pressure Difference
Plant Load Profile Cooling Energy,Plant,,Load Profile Cooling Energy,Plant: Load Profile Cooling Energy
Plant Load Profile Heat Transfer Energy,Plant,,Load Profile Heat Transfer Energy,Plant: Load Profile Heat Transfer Energy
Plant Load Profile Heat Transfer Rate,Plant,,Load Profile Heat Transfer Rate,Plant: Load Profile Heat Transfer Rate
Plant Load Profile Heating Energy,Plant,,Load Profile Heating Energy,Plant: Load Profile Heating Energy
Plant Load Profile Mass Flow Rate,Plant,,Load Profile Mass Flow Rate,Plant: Load Profile Mass Flow Rate
Plant Loop Pressure Difference,Plant,,Loop Pressure Difference,Plant: Loop Pressure Difference
Plant Solver Half Loop Calls Count,Plant,,Solver Half Loop Calls Count,Plant: Solver Half Loop Calls Count
Plant Solver Sub Iteration Count,Plant,,Solver Sub Iteration Count,Plant: Solver Sub Iteration Count
Plant Supply Side Cooling Demand Rate,Plant,,Supply Side Cooling Demand Rate,Plant: Supply Side Cooling Demand Rate
Plant Supply Side Heating Demand Rate,Plant,,Supply Side Heating Demand Rate,Plant: Supply Side Heating Demand Rate
